,DBN,School Name,Year,Number Tested,Mean Scale Score,# Level 1,# Level 2,# Level 3,# Level 4
53,01M034,P.S. 034 FRANKLIN D. ROOSEVELT,2015,59,298.0,21.0,24.0,9.0,5.0
136,01M140,P.S. 140 NATHAN STRAUS,2015,58,285.0,28.0,26.0,4.0,0.0
169,01M184,P.S. 184M SHUANG WEN,2015,56,360.0,0.0,4.0,13.0,39.0
191,01M188,P.S. 188 THE ISLAND SCHOOL,2015,61,299.0,16.0,30.0,13.0,2.0
203,01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,2015,14,263.0,10.0,3.0,1.0,0.0
215,01M301,"TECHNOLOGY, ARTS, AND SCIENCES STUDIO",2015,47,270.0,36.0,11.0,0.0,0.0
239,01M332,UNIVERSITY NEIGHBORHOOD MIDDLE SCHOOL,2015,28,283.0,16.0,5.0,5.0,2.0
251,01M345,"COLLABORATIVE ACADEMY OF SCIENCE, TECHNOLOGY, & LANGUAGE-ARTS EDUCATION",2015,57,291.0,24.0,24.0,5.0,4.0
299,01M378,SCHOOL FOR GLOBAL LEADERS,2015,65,297.0,26.0,27.0,6.0,6.0
312,01M450,EAST SIDE COMMUNITY SCHOOL,2015,61,324.0,2.0,23.0,28.0,8.0
343,01M839,TOMPKINS SQUARE MIDDLE SCHOOL,2015,48,318.0,4.0,25.0,11.0,8.0
515,02M104,J.H.S. 104 SIMON BARUCH,2015,257,316.0,53.0,74.0,76.0,54.0
536,02M111,P.S. 111 ADOLPH S. OCHS,2015,57,287.0,29.0,22.0,4.0,2.0
548,02M114,EAST SIDE MIDDLE SCHOOL,2015,144,354.0,1.0,19.0,44.0,80.0
617,02M131,M.S. 131,2015,130,328.0,19.0,29.0,35.0,47.0
663,02M167,J.H.S. 167 ROBERT F. WAGNER,2015,298,318.0,37.0,123.0,88.0,50.0
722,02M217,P.S./I.S. 217 ROOSEVELT ISLAND,2015,25,289.0,11.0,10.0,3.0,1.0
743,02M225,ELLA BAKER SCHOOL,2015,8,322.0,1.0,2.0,2.0,3.0
767,02M255,M.S. 255 SALK SCHOOL OF SCIENCE,2015,48,322.0,8.0,6.0,23.0,11.0
779,02M260,M.S. 260 CLINTON SCHOOL WRITERS & ARTISTS,2015,81,335.0,3.0,22.0,33.0,23.0
804,02M276,BATTERY PARK CITY SCHOOL,2015,53,294.0,18.0,26.0,9.0,0.0
816,02M289,I.S. 289,2015,89,331.0,5.0,26.0,35.0,23.0
841,02M312,NEW YORK CITY LAB MIDDLE SCHOOL FOR COLLABORATIVE STUDIES,2015,48,328.0,2.0,13.0,22.0,11.0
861,02M347,THE 47 AMERICAN SIGN LANGUAGE & ENGLISH LOWER SCHOOL,2015,6,287.0,3.0,2.0,0.0,1.0
882,02M407,INSTITUTE FOR COLLABORATIVE EDUCATION,2015,16,320.0,0.0,11.0,2.0,3.0
894,02M408,PROFESSIONAL PERFORMING ARTS HIGH SCHOOL,2015,21,317.0,0.0,12.0,8.0,1.0
906,02M413,SCHOOL OF THE FUTURE HIGH SCHOOL,2015,85,326.0,2.0,32.0,37.0,14.0
919,02M422,QUEST TO LEARN,2015,55,279.0,30.0,24.0,1.0,0.0
937,02M442,"BALLET TECH, NYC PUBLIC SCHOOL FOR DANCE",2015,20,347.0,0.0,5.0,6.0,9.0
949,02M655,LIFE SCIENCES SECONDARY SCHOOL,2015,22,274.0,15.0,7.0,0.0,0.0
962,02M896,LOWER MANHATTAN COMMUNITY MIDDLE SCHOOL,2015,93,319.0,15.0,35.0,22.0,21.0
988,03M054,J.H.S. 054 BOOKER T. WASHINGTON,2015,24,253.0,21.0,2.0,0.0,1.0
1021,03M076,P.S. 076 A. PHILIP RANDOLPH,2015,44,289.0,18.0,20.0,6.0,0.0
1078,03M149,P.S. 149 SOJOURNER TRUTH,2015,25,271.0,19.0,6.0,0.0,0.0
1113,03M165,P.S. 165 ROBERT E. SIMON,2015,74,272.0,49.0,22.0,3.0,0.0
1146,03M180,P.S. 180 HUGO NEWMAN,2015,48,288.0,20.0,20.0,7.0,1.0
1166,03M191,P.S. 191 AMSTERDAM,2015,51,269.0,34.0,15.0,2.0,0.0
1239,03M245,M.S. M245 THE COMPUTER SCHOOL,2015,33,286.0,16.0,16.0,1.0,0.0
1251,03M247,M.S. M247 DUAL LANGUAGE MIDDLE SCHOOL,2015,61,318.0,4.0,31.0,18.0,8.0
1264,03M250,M.S. 250 WEST SIDE COLLABORATIVE MIDDLE SCHOOL,2015,57,303.0,13.0,36.0,6.0,2.0
1276,03M256,M.S. 256 ACADEMIC & ATHLETIC EXCELLENCE,2015,42,269.0,34.0,8.0,0.0,0.0
1288,03M258,COMMUNITY ACTION SCHOOL - MS 258,2015,65,303.0,9.0,48.0,5.0,3.0
1309,03M333,P.S. 333 MANHATTAN SCHOOL FOR CHILDREN,2015,29,302.0,8.0,14.0,5.0,2.0
1337,03M415,WADLEIGH SECONDARY SCHOOL FOR THE PERFORMING & VISUAL ARTS,2015,11,266.0,9.0,2.0,0.0,0.0
1349,03M421,WEST PREP ACADEMY,2015,54,287.0,23.0,23.0,7.0,1.0
1385,03M860,FREDERICK DOUGLASS ACADEMY II SECONDARY SCHOOL,2015,19,268.0,11.0,8.0,0.0,0.0
1397,03M862,MOTT HALL II,2015,53,314.0,4.0,28.0,19.0,2.0
1418,04M007,P.S. 007 SAMUEL STERN,2015,41,312.0,10.0,15.0,9.0,7.0
1447,04M013,J.H.S. 013 JACKIE ROBINSON,2015,31,282.0,14.0,16.0,1.0,0.0
1492,04M050,P.S. 050 VITO MARCANTONIO,2015,50,273.0,34.0,16.0,0.0,0.0
1513,04M057,JAMES WELDON JOHNSON,2015,56,300.0,15.0,24.0,12.0,5.0
1560,04M096,P.S. 096 JOSEPH LANZETTA,2015,42,269.0,30.0,9.0,2.0,1.0
1595,04M108,P.S. 108 ASSEMBLYMAN ANGELO DEL TORO EDUCATIONAL COMPLEX,2015,113,287.0,51.0,55.0,6.0,1.0
1640,04M171,P.S. 171 PATRICK HENRY,2015,85,321.0,13.0,27.0,27.0,18.0
1674,04M206,P.S. 206 JOSE CELSO BARBOSA,2015,40,275.0,27.0,13.0,0.0,0.0
1686,04M224,M.S. 224 MANHATTAN EAST SCHOOL FOR ARTS & ACADEMICS,2015,4,,,,,
1697,04M372,ESPERANZA PREPARATORY ACADEMY,2015,80,277.0,52.0,27.0,1.0,0.0
1721,04M377,RENAISSANCE SCHOOL OF THE ARTS,2015,47,273.0,33.0,12.0,2.0,0.0
1733,04M381,GLOBAL NEIGHBORHOOD SECONDARY SCHOOL,2015,30,273.0,19.0,11.0,0.0,0.0
1745,04M406,GLOBAL TECHNOLOGY PREPARATORY,2015,48,302.0,13.0,24.0,10.0,1.0
1769,04M610,YOUNG WOMEN'S LEADERSHIP SCHOOL,2015,50,308.0,10.0,24.0,14.0,2.0
1781,04M825,ISAAC NEWTON MIDDLE SCHOOL FOR MATH & SCIENCE,2015,92,276.0,58.0,27.0,7.0,0.0
1838,05M046,P.S. 046 ARTHUR TAPPAN,2015,89,280.0,45.0,35.0,8.0,1.0
1871,05M123,P.S. 123 MAHALIA JACKSON,2015,54,265.0,44.0,9.0,0.0,1.0
1904,05M129,P.S. 129 JOHN H. FINLEY,2015,51,271.0,33.0,16.0,1.0,1.0
1955,05M161,P.S. 161 PEDRO ALBIZU CAMPOS,2015,120,278.0,68.0,49.0,2.0,1.0
2015,05M286,I.S. M286 RENAISSANCE LEADERSHIP ACADEMY,2015,58,264.0,47.0,9.0,2.0,0.0
2027,05M302,KAPPA IV,2015,73,258.0,58.0,14.0,1.0,0.0
2058,05M367,ACADEMY FOR SOCIAL ACTION: A COLLEGE BOARD SCHOOL,2015,13,261.0,10.0,3.0,0.0,0.0
2070,05M410,THE URBAN ASSEMBLY INSTITUTE FOR NEW TECHNOLOGIES,2015,18,278.0,10.0,8.0,0.0,0.0
2079,05M469,CHOIR ACADEMY OF HARLEM,2015,25,260.0,20.0,5.0,0.0,0.0
