,DBN,School Name,Grade,Year,Category,Number Tested,Mean Scale Score,# Level 1,# Level 2,# Level 3,# Level 4
47,01M034,P.S. 034 FRANKLIN D. ROOSEVELT,6,2015,All Students,56,295.0,19.0,23.0,11.0,3.0
50,01M034,P.S. 034 FRANKLIN D. ROOSEVELT,7,2015,All Students,43,296.0,17.0,15.0,10.0,1.0
53,01M034,P.S. 034 FRANKLIN D. ROOSEVELT,8,2015,All Students,59,298.0,21.0,24.0,9.0,5.0
130,01M140,P.S. 140 NATHAN STRAUS,6,2015,All Students,50,290.0,20.0,22.0,5.0,3.0
133,01M140,P.S. 140 NATHAN STRAUS,7,2015,All Students,56,293.0,23.0,26.0,6.0,1.0
136,01M140,P.S. 140 NATHAN STRAUS,8,2015,All Students,58,285.0,28.0,26.0,4.0,0.0
163,01M184,P.S. 184M SHUANG WEN,6,2015,All Students,61,341.0,2.0,8.0,17.0,34.0
166,01M184,P.S. 184M SHUANG WEN,7,2015,All Students,36,340.0,4.0,4.0,8.0,20.0
169,01M184,P.S. 184M SHUANG WEN,8,2015,All Students,56,360.0,0.0,4.0,13.0,39.0
185,01M188,P.S. 188 THE ISLAND SCHOOL,6,2015,All Students,52,286.0,19.0,26.0,6.0,1.0
188,01M188,P.S. 188 THE ISLAND SCHOOL,7,2015,All Students,57,294.0,26.0,27.0,3.0,1.0
191,01M188,P.S. 188 THE ISLAND SCHOOL,8,2015,All Students,61,299.0,16.0,30.0,13.0,2.0
197,01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,6,2015,All Students,12,246.0,11.0,1.0,0.0,0.0
200,01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,7,2015,All Students,11,260.0,10.0,1.0,0.0,0.0
203,01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,8,2015,All Students,14,263.0,10.0,3.0,1.0,0.0
209,01M301,"TECHNOLOGY, ARTS, AND SCIENCES STUDIO",6,2015,All Students,45,268.0,30.0,12.0,3.0,0.0
212,01M301,"TECHNOLOGY, ARTS, AND SCIENCES STUDIO",7,2015,All Students,44,282.0,30.0,10.0,3.0,1.0
215,01M301,"TECHNOLOGY, ARTS, AND SCIENCES STUDIO",8,2015,All Students,47,270.0,36.0,11.0,0.0,0.0
233,01M332,UNIVERSITY NEIGHBORHOOD MIDDLE SCHOOL,6,2015,All Students,26,269.0,17.0,6.0,2.0,1.0
236,01M332,UNIVERSITY NEIGHBORHOOD MIDDLE SCHOOL,7,2015,All Students,28,278.0,17.0,10.0,1.0,0.0
239,01M332,UNIVERSITY NEIGHBORHOOD MIDDLE SCHOOL,8,2015,All Students,28,283.0,16.0,5.0,5.0,2.0
245,01M345,"COLLABORATIVE ACADEMY OF SCIENCE, TECHNOLOGY, & LANGUAGE-ARTS EDUCATION",6,2015,All Students,27,277.0,17.0,5.0,3.0,2.0
248,01M345,"COLLABORATIVE ACADEMY OF SCIENCE, TECHNOLOGY, & LANGUAGE-ARTS EDUCATION",7,2015,All Students,31,277.0,20.0,7.0,3.0,1.0
251,01M345,"COLLABORATIVE ACADEMY OF SCIENCE, TECHNOLOGY, & LANGUAGE-ARTS EDUCATION",8,2015,All Students,57,291.0,24.0,24.0,5.0,4.0
293,01M378,SCHOOL FOR GLOBAL LEADERS,6,2015,All Students,71,304.0,18.0,31.0,14.0,8.0
296,01M378,SCHOOL FOR GLOBAL LEADERS,7,2015,All Students,70,295.0,33.0,26.0,7.0,4.0
299,01M378,SCHOOL FOR GLOBAL LEADERS,8,2015,All Students,65,297.0,26.0,27.0,6.0,6.0
306,01M450,EAST SIDE COMMUNITY SCHOOL,6,2015,All Students,93,313.0,9.0,41.0,25.0,18.0
